serial number,Company,The location of the recycling service outlet,The name of the recycling service location,address,Short_Company_Name,City
1,"BYD Automobile Co., Ltd","Tongzhou District, Beijing","Beijing BYD Mould Co., Ltd","No. 1, Kechuang East <>th Street, Tongzhou District, Beijing","BYD Automobile Co.,",Beijing
2,"BYD Automobile Co., Ltd","Wuqing District, Tianjin","Tianjin BYD Automobile Co., Ltd","No. 2, Tianfu Road, Auto Parts Industrial Park, Wuqing District, Tianjin","BYD Automobile Co.,",Tianjin
3,"BYD Automobile Co., Ltd","Taiyuan City, Shanxi Province","Taiyuan BYD Automobile Co., Ltd","No. 301, Tanghuai Road, Taiyuan Tanghuai Park, Shanxi Comprehensive Reform Demonstration Zone","BYD Automobile Co.,",Taiyuan
4,"BYD Automobile Co., Ltd","Songjiang District, Shanghai","Shanghai BYD Co., Ltd","No. 999, Xiangjing Road, Chedun Town, Songjiang District, Shanghai","BYD Automobile Co.,",Shanghai
5,"BYD Automobile Co., Ltd","Hangzhou City, Zhejiang Province","Hangzhou BYD Automobile Co., Ltd","No. 99-1, Qihang Road, Renhe Street, Yuhang District, Hangzhou, Zhejiang Province","BYD Automobile Co.,",Hangzhou
6,"BYD Automobile Co., Ltd","Qingdao City, Shandong Province","Qingdao BYD Automobile Co., Ltd","No. 9, Hongxiang <>st Road, Chengyang Industrial Park, Chengyang District, Qingdao City, Shandong Province","BYD Automobile Co.,",Qingdao
7,"BYD Automobile Co., Ltd","Jining City, Shandong Province","Jining BYD Industrial Co., Ltd","No. 168, Beisu Avenue, Zoucheng Economic Development Zone, Jining City, Shandong Province","BYD Automobile Co.,",Jining
8,"BYD Automobile Co., Ltd","Changsha City, Hunan Province","Changsha BYD Automobile Co., Ltd","No. 88, East Environmental Protection Road, Yuhua District, Changsha City, Hunan Province","BYD Automobile Co.,",Changsha
9,"BYD Automobile Co., Ltd","Shenzhen City, Guangdong Province","Shenzhen BYD lithium battery Co., Ltd","No. 3001, Baohe Road, Baolong Industrial City, Longgang Street, Longgang District, Shenzhen","BYD Automobile Co.,",Shenzhen
10,"BYD Automobile Co., Ltd","Shantou City, Guangdong Province","Shantou BYD Industrial Co., Ltd","No. 1, Zhiye Road, Haojiang District, Shantou City","BYD Automobile Co.,",Shantou
11,"BYD Automobile Co., Ltd","Guang'an City, Sichuan Province","Anshan Xinling Automobile Sales and Service Co., Ltd","No. 1, Shibin Road, Kuige Street, Guang'an Economic and Technological Development Zone, Sichuan Province","BYD Automobile Co.,",Guang'an
12,"BYD Automobile Co., Ltd","Xi'an, Shaanxi Province","Xi'an BYD Electronics Co., Ltd","No. 2, Yadi Road, New Industrial Park, High-tech Zone, Xi'an","BYD Automobile Co.,",Xi'an
13,"BYD Automobile Industry Co., Ltd","Tongzhou District, Beijing","Beijing BYD Mould Co., Ltd","No. 1, Kechuang East <>th Street, Tongzhou District, Beijing",BYD Automobile Industry,Beijing
14,"BYD Automobile Industry Co., Ltd","Wuqing District, Tianjin","Tianjin BYD Automobile Co., Ltd","No. 2, Tianfu Road, Auto Parts Industrial Park, Wuqing District, Tianjin",BYD Automobile Industry,Tianjin
15,"BYD Automobile Industry Co., Ltd","Taiyuan City, Shanxi Province","Taiyuan BYD Automobile Co., Ltd","No. 301, Tanghuai Road, Taiyuan Tanghuai Park, Shanxi Comprehensive Reform Demonstration Zone",BYD Automobile Industry,Taiyuan
16,"BYD Automobile Industry Co., Ltd","Songjiang District, Shanghai","Shanghai BYD Co., Ltd","No. 999, Xiangjing Road, Chedun Town, Songjiang District, Shanghai",BYD Automobile Industry,Shanghai
17,"BYD Automobile Industry Co., Ltd","Qingdao City, Shandong Province","Qingdao BYD Automobile Co., Ltd","No. 9, Hongxiang <>st Road, Chengyang Industrial Park, Chengyang District, Qingdao City, Shandong Province",BYD Automobile Industry,Qingdao
18,"BYD Automobile Industry Co., Ltd","Jining City, Shandong Province","Jining BYD Industrial Co., Ltd","No. 168, Beisu Avenue, Zoucheng Economic Development Zone, Jining City, Shandong Province",BYD Automobile Industry,Jining
19,"BYD Automobile Industry Co., Ltd","Changsha City, Hunan Province","Changsha BYD Automobile Co., Ltd","No. 88, East Environmental Protection Road, Yuhua District, Changsha City, Hunan Province",BYD Automobile Industry,Changsha
20,"BYD Automobile Industry Co., Ltd","Shenzhen City, Guangdong Province","Shenzhen BYD lithium battery Co., Ltd","No. 3001, Baohe Road, Baolong Industrial City, Longgang Street, Longgang District, Shenzhen",BYD Automobile Industry,Shenzhen
21,"BYD Automobile Industry Co., Ltd","Shantou City, Guangdong Province","Shantou BYD Industrial Co., Ltd","No. 1, Zhiye Road, Haojiang District, Shantou City",BYD Automobile Industry,Shantou
22,"BYD Automobile Industry Co., Ltd","Guang'an City, Sichuan Province","Guangan BYD Industrial Co., Ltd","No. 1, Shibin Road, Kuige Street, Guang'an Economic and Technological Development Zone, Sichuan Province",BYD Automobile Industry,Guang'an
23,"BYD Automobile Industry Co., Ltd","Xi'an, Shaanxi Province","Xi'an BYD Electronics Co., Ltd","No. 2, Yadi Road, New Industrial Park, High-tech Zone, Xi'an",BYD Automobile Industry,Xi'an
24,"SAIC-GM-Wuling Motors Co., Ltd","Chaoyang District, Beijing","Beijing Borui Unicom Automotive Recycling Technology Co., Ltd","No. 6, Lijiazun, Chaoyang District, Beijing","SAIC-GM-Wuling Motors Co.,",Beijing
25,"SAIC-GM-Wuling Motors Co., Ltd","Fengtai District, Beijing","Beijing Jubaifeng Automobile Sales and Service Co., Ltd","No. 124, Bazhuangzi, Xincun, Fengtai District, Beijing","SAIC-GM-Wuling Motors Co.,",Beijing
26,"SAIC-GM-Wuling Motors Co., Ltd","Shunyi District, Beijing","Beijing Huaxin Kaiye Material Recycling Co., Ltd","South side of Shungao Road, Gaoliying Town, Shunyi District, Beijing","SAIC-GM-Wuling Motors Co.,",Beijing
27,"SAIC-GM-Wuling Motors Co., Ltd","Changping District, Beijing","Beijing Automobile Disintegration Plant Co., Ltd","No. 149, Nanxin East Road, Nankou Town, Changping District, Beijing","SAIC-GM-Wuling Motors Co.,",Beijing
28,"SAIC-GM-Wuling Motors Co., Ltd","Daxing District, Beijing","Beijing Tianjiao Scrapped Automobile Recycling Co., Ltd","Dazhuang Village, Huangcun Town, Daxing District, Beijing","SAIC-GM-Wuling Motors Co.,",Beijing
29,"SAIC-GM-Wuling Motors Co., Ltd","Beichen District, Tianjin","Seven Car Factory (Tianjin) Technology Development Co., Ltd",Tianjin Beichen District Pudong Street Xinyibai Road South Puxingli No. 4-23 bottom business,"SAIC-GM-Wuling Motors Co.,",Tianjin
30,"SAIC-GM-Wuling Motors Co., Ltd",Tianjin Binhai New Area,"Tianjin Saidmei New Energy Technology Co., Ltd","No. 416, Haiyou Avenue, Binhai Science and Technology Park, Tianjin Binhai High-tech Zone","SAIC-GM-Wuling Motors Co.,",Tianjin
31,"SAIC-GM-Wuling Motors Co., Ltd","Jinghai District, Tianjin","Tianjin Pengchi Wuling Automobile Sales Co., Ltd","West of No. 1, Guanghai Road, Jinghai County Economic Development Zone, Tianjin","SAIC-GM-Wuling Motors Co.,",Tianjin
32,"SAIC-GM-Wuling Motors Co., Ltd","Jinghai District, Tianjin","Tianjin Ansheng Jin'an Scrapped Motor Vehicle Recycling and Dismantling Co., Ltd","No. 11, No. <> Road, Ziya Circular Economy Industrial Zone, Jinghai District, Tianjin","SAIC-GM-Wuling Motors Co.,",Tianjin
33,"SAIC-GM-Wuling Motors Co., Ltd","Jinghai District, Tianjin","Tianjin Xinneng Renewable Resources Co., Ltd",Tianjin Ziya Circular Economy Industrial Zone,"SAIC-GM-Wuling Motors Co.,",Tianjin
34,"SAIC-GM-Wuling Motors Co., Ltd","Shijiazhuang City, Hebei Province","Shijiazhuang Qinghai Material Recycling Co., Ltd","Lingtou Village, Xizhaotong Town, Chang'an District, Shijiazhuang","SAIC-GM-Wuling Motors Co.,",Shijiazhuang
35,"SAIC-GM-Wuling Motors Co., Ltd","Shijiazhuang City, Hebei Province","Shijiazhuang HSBC Auto Trading Co., Ltd","No. 85, Outer Ring Road, Chang'an District, Shijiazhuang, with No. 1","SAIC-GM-Wuling Motors Co.,",Shijiazhuang
36,"SAIC-GM-Wuling Motors Co., Ltd","Shijiazhuang City, Hebei Province","Hebei Fushan Renewable Resources Recycling Co., Ltd","Xiling, Meng'erzhuang Village, Huishe Town, Pingshan County, Shijiazhuang City, Hebei Province","SAIC-GM-Wuling Motors Co.,",Shijiazhuang
