school_name,discipline
Anhui University,材料科学与工程
Peking University,哲学、理论经济学、应用经济学、法学、政治学、社会学、马克思主义理论、心理学、中国语言文学、外国语言文学、考古学、中国史、世界史、数学、物理学、化学、地理学、地球物理学、地质学、生物学、生态学、统计学、力学、材料科学与工程、电子科学与技术、控制科学与工程、计算机科学与技术、环境科学与工程、软件工程、基础医学、临床医学、口腔医学、公共卫生与预防医学、药学、护理学、艺术学理论、现代语言学、语言学、机械及航空航天和制造工程、商业与管理、社会政策与管理
Beijing University of Technology,土木工程
Beihang University ,力学、仪器科学与技术、材料科学与工程、控制科学与工程、计算机科学与技术、交通运输工程、航空宇航科学与技术、软件工程
Beijing University of Chemical Technology,化学工程与技术
Beijing Jiaotong University,系统科学
University of Science and Technology Beijing,科学技术史、材料科学与工程、冶金工程、矿业工程
Beijing Institute of Technology,物理学、材料科学与工程、控制科学与工程、兵器科学与技术
Beijing Forestry University,风景园林学、林学
Beijing Normal University,哲学、教育学、心理学、中国语言文学、外国语言文学、中国史、数学、地理学、系统科学、生态学、环境科学与工程、戏剧与影视学
Beijing Sport University,体育学
Beijing Foreign Studies University,外国语言文学
Peking Union Medical College,生物学、生物医学工程、临床医学、公共卫生与预防医学、药学
Beijing University of Posts and Telecommunications,信息与通信工程、计算机科学与技术
Beijing University of Chinese Medicine,中医学、中西医结合、中药学
Chengdu University of Technology,地质资源与地质工程
Chengdu University of Traditional Chinese Medicine,中药学
Chongqing University,机械工程、电气工程、土木工程
Dalian Maritime University,交通运输工程
Dalian University of Technology,力学、机械工程、化学工程与技术
University of Electronic Science and Technology of China,电子科学与技术、信息与通信工程
Northeastern University,冶金工程、控制科学与工程
Northeast Forestry University,林业工程、林学
Northeast Agricultural University,畜牧
Northeast Normal University,马克思主义理论、教育学、世界史、化学、统计学、材料科学与工程
Donghua University,材料科学与工程、纺织科学与工程
Southeast University,机械工程、材料科学与工程、电子科学与技术、信息与通信工程、控制科学与工程、计算机科学与技术、建筑学、土木工程、交通运输工程、生物医学工程、风景园林学、艺术学理论
University of International Business and Economics,应用经济学
Fuzhou University,化学
Fudan University,哲学、应用经济学、政治学、马克思主义理论、中国语言文学、外国语言文学、中国史、数学、物理学、化学、生物学、生态学、材料科学与工程、环境科学与工程、基础医学、临床医学、公共卫生与预防医学、中西医结合、药学、集成电路科学与工程
Guangxi University,土木工程
Guangzhou Medical University,临床医学
Guangzhou University of Chinese Medicine,中医学
Guizhou University,植物保护
National University of Defense Technology,信息与通信工程、计算机科学与技术、航空宇航科学与技术、软件工程、管理科学与工程
Harbin Engineering University,船舶与海洋工程
Harbin Institute of Technology,力学、机械工程、材料科学与工程、控制科学与工程、计算机科学与技术、土木工程、航空宇航科学与技术、环境科学与工程
Second Military Medical University,基础医学
Hainan University,作物学
Hefei University of Technology,管理科学与工程
Hebei University of Technology,电气工程
Hohai University,水利工程、环境科学与工程
Henan University,生物学
Hunan University,化学、机械工程、电气工程
Hunan Normal University,外国语言文学
North China Electric Power University,电气工程
East China University of Science and Technology,化学、材料科学与工程、化学工程与技术
East China Normal University,教育学、生态学、统计学
South China University of Technology,化学、材料科学与工程、轻工技术与工程、食品科学与工程
South China Agricultural University,作物学
South China Normal University,物理学
Huazhong University of Science and Technology,机械工程、光学工程、材料科学与工程、动力工程及工程热物理、电气工程、计算机科学与技术、基础医学、临床医学、公共卫生与预防医学
Huazhong Agricultural University,生物学、园艺学、畜牧学、兽医学、农林经济管理
Central China Normal University,政治学、教育学、中国语言文学
Jilin University,考古学、数学、物理学、化学、生物学、材料科学与工程
Jinan University,药学
Jiangnan University,轻工技术与工程、食品科学与工程
Fourth Military Medical University,临床医学
Lanzhou University,化学、大气科学、生态学、草学
Liaoning University,应用经济学
Nanchang University,材料科学与工程
Southern University of Science and Technology,数学
Nanjing University,哲学、理论经济学、中国语言文学、外国语言文学、物理学、化学、天文学、大气科学、地质学、生物学、材料科学与工程、计算机科学与技术、化学工程与技术、矿业工程、环境科学与工程、图书情报与档案管理
Nanjing University of Aeronautics and Astronautics,力学、控制科学与工程、航空宇航科学与技术
Nanjing University of Science and Technology,兵器科学与技术
Nanjing Forestry University,林业工程
Nanjing Agricultural University,作物学、农业资源与环境
Nanjing Normal University,地理学
Nanjing University of Information Science and Technology,大气科学
Nanjing Medical University,公共卫生与预防医学
Nanjing University of Posts and Telecommunications,电子科学与技术
Nanjing University of Chinese Medicine,中药学
Nankai University,应用经济学、世界史、数学、化学、统计学、材料科学与工程
Inner Mongolia University,生物学
Ningbo University,力学
Ningxia University,化学工程与技术
Qinghai University,生态学
Tsinghua University,法学、政治学、马克思主义理论、数学、物理学、化学、生物学、力学、机械工程、仪器科学与技术、材料科学与工程、动力工程及工程热物理、电气工程、信息与通信工程、控制科学与工程、计算机科学与技术、建筑学、土木工程、洋洋得意工程、化学工程与技术、核科学与技术、环境科学与工程、生物医学工程、城乡规划学、风景园林学、软件工程、管理科学与工程、工商管理、公共管理、设计学、会计与金融、经济学和计量经济学、统计学与运筹学、现代语言学、航空宇航科学与技术
Xiamen University,教育学、化学、海洋科学、生物学、生态学、统计学
Shandong University,中国语言文学、数学、化学、临床医学
Shanxi University,哲学、物理学
Shaanxi Normal University,中国语言文学
Shanghai University of Finance and Economics,应用经济学
Shanghai University,机械工程
Shanghai Ocean University,水产
Shanghai Jiao Tong University,数学、物理学、化学、生物学、机械工程、材料科学与工程、电子科学与技术、信息与通信工程、控制科学与工程、计算机科学与技术、土木工程、化学工程与技术、船舶与海洋工程、基础医学、临床医学、口腔医学、药学、工商管理
ShanghaiTech University,材料科学与工程
Shanghai University of Sport,体育学
Shanghai International Studies University,外国语言文学
Shanghai Conservatory of Music,音乐与舞蹈学
Shanghai University of Traditional Chinese Medicine,中医学、中药学
Shihezi University,化学工程与技术
Capital Normal University,数学
Sichuan University,数学、化学、材料科学与工程、基础医学、口腔医学、护理学
Sichuan Agricultural University,作物学
Soochow University,材料科学与工程
Taiyuan University of Technology,化学工程与技术
Tianjin University,化学、材料科学与工程、动力工程及工程热物理、化学工程与技术、管理科学与工程
Tiangong University,纺织科学与工程
Tianjin Medical University,临床医学
Tianjin University of Traditional Chinese Medicine,中药学
Tongji University,生物学、建筑学、土木工程、测绘科学与技术、环境科学与工程、城乡规划学、风景园林学、设计学
China Foreign Affairs University,政治学
Wuhan University,理论经济学、法学、马克思主义理论、化学、地球物理学、生物学、土木工程、水利工程、测绘科学与技术、口腔医学、图书情报与档案管理
Wuhan University of Technology,材料科学与工程
Xi'an University of Electronic Science and Technology,信息与通信工程、计算机科学与技术
