No.,English_school_name,THE-WUR,CWUR,QS-WUR,Shanghai-Ranking,Chinese Project-985
1,Anhui University,2500,745,800,502,5
2,Peking University,14,49,17,29,10
3,Beijing University of Technology,2500,608,800,305,5
4,Beihang University ,303,254,475,153,10
5,Beijing University of Chemical Technology,2500,422,800,201,5
6,Beijing Jiaotong University,2500,538,800,505,5
7,University of Science and Technology Beijing,2500,359,440,257,5
8,Beijing Institute of Technology,252,293,341,102,10
9,Beijing Forestry University,2500,740,800,706,5
10,Beijing Normal University,177,304,272,154,10
11,Beijing Sport University,2500,3000,800,1500,5
12,Beijing Foreign Studies University,2500,3000,800,1500,5
13,Peking Union Medical College,2500,357,800,237,5
14,Beijing University of Posts and Telecommunications,2500,688,800,609,5
15,Beijing University of Chinese Medicine,2500,1436,800,1500,5
16,Chengdu University of Technology,2500,1314,800,809,5
17,Chengdu University of Traditional Chinese Medicine,2500,1888,800,1500,5
18,Chongqing University,360,316,800,207,10
19,Dalian Maritime University,2500,1064,800,622,5
20,Dalian University of Technology,424,266,493,210,10
21,University of Electronic Science and Technology of China,366,294,489,132,10
22,Northeastern University,2500,446,800,341,10
23,Northeast Forestry University,2500,1058,800,847,5
24,Northeast Agricultural University,2500,1060,800,846,5
25,Northeast Normal University,937,685,800,848,5
26,Donghua University,531,589,800,716,5
27,Southeast University,337,222,458,125,10
28,University of International Business and Economics,2500,1773,800,1500,5
29,Fuzhou University,864,472,800,215,5
30,Fudan University,44,89,50,56,10
31,Guangxi University,2500,705,800,319,5
32,Guangzhou Medical University,869,622,800,411,5
33,Guangzhou University of Chinese Medicine,2500,1286,800,825,5
34,Guizhou University,2500,1007,800,628,5
35,National University of Defense Technology,2500,615,800,537,10
36,Harbin Engineering University,871,765,800,524,5
37,Harbin Institute of Technology,170,184,256,107,10
38,Second Military Medical University,2500,3000,800,1500,5
39,Hainan University,2500,1025,800,413,5
40,Hefei University of Technology,2500,561,800,525,5
41,Hebei University of Technology,2500,996,800,722,5
42,Hohai University,2500,636,800,417,5
43,Henan University,2500,741,800,415,5
44,Hunan University,373,298,497,160,10
45,Hunan Normal University,2500,880,800,526,5
46,North China Electric Power University,936,541,800,739,5
47,East China University of Science and Technology,644,375,800,315,5
48,East China Normal University,313,355,800,212,10
49,South China University of Technology,289,206,394,123,10
50,South China Agricultural University,2500,646,800,444,5
51,South China Normal University,766,629,800,445,5
52,Huazhong University of Science and Technology,158,127,275,91,10
53,Huazhong Agricultural University,2500,433,800,322,5
54,Central China Normal University,2500,568,800,511,5
55,Jilin University,2500,218,800,108,10
56,Jinan University,546,434,800,220,5
57,Jiangnan University,892,515,800,327,5
58,Fourth Military Medical University,2500,3000,800,1500,5
59,Lanzhou University,2500,334,800,225,10
60,Liaoning University,2500,1510,800,1500,5
61,Nanchang University,2500,565,800,335,5
62,Southern University of Science and Technology,238,431,301,124,5
63,Nanjing University,73,147,141,96,10
64,Nanjing University of Aeronautics and Astronautics,713,445,800,337,5
65,Nanjing University of Science and Technology,2500,412,800,339,5
66,Nanjing Forestry University,714,808,800,431,5
67,Nanjing Agricultural University,2500,399,800,336,5
68,Nanjing Normal University,930,558,800,432,5
69,Nanjing University of Information Science and Technology,928,502,800,1500,5
70,Nanjing Medical University,929,400,800,229,5
71,Nanjing University of Posts and Telecommunications,2500,677,800,534,5
72,Nanjing University of Chinese Medicine,2500,1019,800,644,5
73,Nankai University,278,210,385,167,10
74,Inner Mongolia University,2500,1412,800,1500,5
75,Ningbo University,2500,750,800,538,5
76,Ningxia University,2500,1749,800,1500,5
77,Qinghai University,2500,1921,800,1500,5
78,Tsinghua University,12,44,25,22,10
79,Xiamen University,351,179,396,199,10
80,Shandong University,2500,191,361,120,10
81,Shanxi University,2500,693,800,753,5
